id,time,mag,magType,cdi,place,status,latitude,longitude,depth,date,lat/lon,nearby_wells,num_wells,year_month,year_month_day,nearby_eqs,eq_class
us10006jxs,1472904164400,5.8,mww,7.9,"14 km NW of Pawnee, Oklahoma",reviewed,36.4251,-96.9291,5.557,2016-09-03 12:02:44.400,"36.4251,-96.9291","[3511700179, 3511704379, 3511701087, 3510324285, 3510324274, 3511722524, 3511723372, 3511722902, 3511722733, 3511722656, 3511722565, 3511722558, 3511723382, 3511723499, 3511723470, 3511723458, 3511723454, 3510324337, 3510324349, 3510324350, 3510324450, 3510324435, 3510324424, 3511723581, 3511723624]",25,2016-09,2016-09-03,10,parent
usp000jadn,1320551590000,5.7,mww,6.9,"8 km NW of Prague, Oklahoma",reviewed,35.532,-96.765,5.2,2011-11-06 03:53:10.000,"35.532,-96.765","[3508123975, 3508123875, 3508123856, 3508123681, 3508123621, 3508123499, 3513324298, 3513324463, 3513324515, 3513324535, 3513324751, 3513324660, 3510723280, 3510723103, 3512523519, 3512523507, 3512523465, 3512523447, 3512523527, 3512523540, 3512523553, 3512523612, 3512523558, 3508124092, 3508124112, 3508123802, 3508124143, 3508124191]",28,2011-11,2011-11-06,33,parent
us20004zy8,1455383226290,5.1,mww,6.8,"18 km SE of Waynoka, Oklahoma",reviewed,36.4898,-98.709,8.31,2016-02-13 17:07:06.290,"36.4898,-98.709","[3509323212, 3515121599, 3515123533, 3515123752, 3515123770, 3515124293]",6,2016-02,2016-02-13,19,parent
us100075y8,1478483064500,5.0,mww,7.1,"3 km W of Cushing, Oklahoma",reviewed,35.9907,-96.803,4.43,2016-11-07 01:44:24.500,"35.9907,-96.803","[3503728644, 3503728759, 3503728748, 3503736202, 3503735796, 3503720806, 3503720971, 3503716484, 3503716453, 3503716435, 3503716141, 3503723638, 3503723616, 3503723596, 3503721033, 3503722414, 3503722031, 3511921412, 3511922920, 3511922725, 3511921090, 3511920916, 3511923866, 3511923856, 3511923843, 3511923793, 3511923779, 3511923384, 3503701808, 3511923940, 3511923946, 3511923974, 3511930407, 3511923926, 3511923925, 3511923911, 3511923896, 3511923898, 3508124103, 3508101441, 3503729102, 3503729101, 3508124132, 3508124127, 3511923997, 3511924020, 3503729215, 3503729186, 3503729174, 3508124148, 3511924308, 3511924301, 3511924269, 3511924265, 3511924256, 3511924210, 3511924193, 3511924183, 3511924095, 3511924071, 3511924056, 3511924029]",62,2016-11,2016-11-07,29,parent
usp000jajb,1320720417000,4.8,mwr,6.7,"9 km SSE of Sparks, Oklahoma",reviewed,35.531,-96.788,5.0,2011-11-08 02:46:57.000,"35.531,-96.788","[3508123975, 3508123875, 3508123856, 3508123681, 3508123621, 3508123499, 3513324298, 3513324463, 3513324751, 3513324660, 3510723103, 3512523519, 3512523507, 3512523465, 3512523447, 3512523527, 3512523540, 3512523553, 3512523612, 3512523558, 3508124092, 3508124112, 3508123802, 3508124143, 3508124191]",25,2011-11,2011-11-08,5,parent
usp000jac0,1320477165000,4.8,mwr,6.6,"8 km SE of Sparks, Oklahoma",reviewed,35.55,-96.764,3.1,2011-11-05 07:12:45.000,"35.55,-96.764","[3508104442, 3508122309, 3508123975, 3508123875, 3508123856, 3508123681, 3508123621, 3508123595, 3508123499, 3513324463, 3513324751, 3513324660, 3510723103, 3512523519, 3512523507, 3512523465, 3512523447, 3512523527, 3512523540, 3512523553, 3512523612, 3512523558, 3508124092, 3508124112, 3508123802, 3508124143, 3508124191]",27,2011-11,2011-11-05,5,parent
us10004bz5,1452140877600,4.7,mww,6.3,"16 km SE of Waynoka, Oklahoma",reviewed,36.4955,-98.7254,4.058,2016-01-07 04:27:57.600,"36.4955,-98.7254","[3509323212, 3515121599, 3515123533, 3515123752, 3515123770, 3515124293]",6,2016-01,2016-01-07,12,shock
us1000424d,1448876952800,4.7,mwr,7.0,"8 km E of Nescatunga, Oklahoma",reviewed,36.7509,-98.0561,5.629,2015-11-30 09:49:12.800,"36.7509,-98.0561","[3505322791, 3505322796, 3505322591, 3505322487, 3505322901, 3505322836, 3505322824, 3505322073, 3505321839, 3500321897, 3500321848, 3500321840, 3505322928, 3505322940, 3505322947, 3505322959, 3505322963, 3505322987, 3505322923, 3505323049, 3505322892, 3500322183, 3500322158, 3500322228, 3500322355, 3500322426, 3500322409, 3500322370, 3500322722, 3500322560, 3504724876, 3505323402]",32,2015-11,2015-11-30,30,parent
us10003zgz,1447918932000,4.7,mwr,6.9,"4 km SW of Lambert, Oklahoma",reviewed,36.6602,-98.4594,5.914,2015-11-19 07:42:12.000,"36.6602,-98.4594","[3500322152, 3500321931, 3515123526, 3515121599, 3515122963, 3515122680, 3515123689, 3515123533, 3515123514, 3515123534, 3515123729, 3500322163, 3500322390, 3500322349, 3500322345, 3500322302, 3500322247, 3500322523, 3500322489, 3500322476, 3500322551, 3500322548, 3500322651, 3500322600, 3515123770, 3515123819, 3500323099, 3500322973, 3500322954, 3500322805, 3500322761, 3500322710, 3515124150, 3515124293, 3515124258]",35,2015-11,2015-11-19,12,parent
us2000dw0r,1523103363300,4.6,mww,5.4,"5 km WNW of Lucien, Oklahoma",reviewed,36.2896,-97.5166,5.791,2018-04-07 12:16:03.300,"36.2896,-97.5166","[3504724485, 3504724404, 3504724338, 3504724219, 3508322776, 3510322731, 3504724507, 3504724590, 3508324008, 3508324009, 3510324315, 3504724611, 3504724620, 3504724621, 3504724622, 3504724652, 3504724668, 3504724582, 3504724579, 3508324166, 3510324542, 3504724848, 3504724818, 3504724761, 3504724729, 3508324300, 3510324615]",27,2018-04,2018-04-07,91,parent
